feature,importance
categorical__TIPACCID_Colisión con vehículo automotor,0.08136463585995339
numeric__ID_EDAD,0.07213089697994926
cyclic_id_hora__ID_HORA_COS,0.061564407748212154
cyclic_id_hora__ID_HORA_SEN,0.061051180853779766
cyclic_mes__MES_SEN,0.05019105336881308
cyclic_mes__MES_COS,0.04970776054834707
numeric__MOTOCICLET,0.044727243164573195
numeric__AUTOMOVIL,0.042893035798016094
categorical__TIPACCID_Colisión con peatón (atropellamiento),0.035410520389673614
categorical__NOM_ENT_Nuevo León,0.024221900758168477
categorical__SUBURBANA_Sin accidente en esta zona,0.02279138651624157
categorical__TIPACCID_Colisión con objeto fijo,0.019580598271248098
categorical__ALIENTO_Se ignora,0.01846886145741608
categorical__URBANA_Sin accidente en esta zona,0.01751155784830484
categorical__TIPACCID_Colisión con motocicleta,0.01705398444381076
categorical__URBANA_Accidente en no intersección,0.01442739404511886
categorical__CINTURON_Se ignora,0.014276713718322065
categorical__SUBURBANA_Accidente en carretera estatal,0.013525312041698894
categorical__NOM_ENT_México,0.013473938535070153
categorical__DIASEMANA_Sabado,0.012683076107581695
binary__EDAD_DESCONOCIDA,0.012066790070556674
numeric__CAMPASAJ,0.011706495976105548
categorical__DIASEMANA_Lunes,0.01169505361927937
categorical__DIASEMANA_Viernes,0.011624239445949137
categorical__DIASEMANA_Martes,0.010883259274257269
