id,texto
1,receta de cocina para preparar harina y tazón en la cocina
2,papiroflexia con papel y doblez de papel para papiroflexia
3,alfarería con barro y torno para arcilla en alfarería
4,carpintería con madera y serrucho para mesa de madera
5,receta de cocina con harina y tazón para preparar cocina
6,papiroflexia con papel y doblez de papel para origami
7,alfarería con barro y torno de arcilla para cerámica
8,madera de carpintería con serrucho para mesa de madera
9,cocina con papel y barro sobre mesa de madera
10,receta de papiroflexia para torno de carpintería
