id,abasto,abasto gasolina,abasto incluye,anunció,anunció nuevas,apoyo,apoyo universidades,apoyos,apoyos universidades,atención,atención comunitaria,atenderse,atenderse cooperación,aumenta,aumenta recursos,autoridades,autoridades investigan,becas,becas estudiantes,becas estudiantiles,becas investigación,becas sociales,carreteras,carreteras ductos,carreteras zonas,centro,centro país,ciudades,ciudades país,clandestinos,clandestinos venta,combustible,combustible operativo,combustible robado,comunitaria,conductores,conductores esperaron,construcción,construcción muro,contempla,contempla apoyos,controlar,controlar migración,cooperación,cooperación seguridad,coordinación,coordinación estaciones,crecieron,crecieron porque,debe,debe atenderse,declaraciones,declaraciones trump,dedicada,dedicada robo,defendió,defendió construcción,desarrollo,desarrollo tecnológico,diplomático,discurso,discurso simpatizantes,discurso trump,discutir,discutir presupuesto,distribución,distribución gasolina,diálogo,diálogo diplomático,ductos,ductos centro,ductos clandestinos,ductos estaciones,educación,educación becas,educación pública,esperaron,esperaron horas,estaciones,estaciones filas,estaciones reducir,estaciones servicio,estudiantes,estudiantes universitarios,estudiantil,estudiantil exigió,estudiantiles,estudiantiles rectores,exigió,exigió presupuesto,falta,falta gasolina,filas,filas crecieron,filas estaciones,fronteriza,fronteriza diálogo,fronteriza respuesta,fronterizo,fronterizo discurso,fronterizo necesario,gasolina,gasolina ductos,gasolina llegó,gasolina provocó,gasolina supervisión,gasolina varias,gasolina vehículos,gobierno,gobierno mexicano,gobierno señaló,guardia,guardia nacional,habló,habló presupuesto,horas,hospitales,hospitales programas,hospitales públicos,ilegal,ilegal gasolina,incluye,incluye distribución,innovación,innovación tecnológica,insistió,insistió muro,investigación,investigación apoyo,investigación desarrollo,investigación educación,investigación innovación,investigación programas,investigación ubicó,investigan,investigan red,laboratorios,laboratorios proyectos,largas,largas filas,llegó,llegó tarde,mayor,mayor presupuesto,mañana,mañana varias,medidas,medidas mejorar,mejorar,mejorar abasto,mexicano,mexicano respondió,migración,migración debe,migración seguridad,muro,muro fronterizo,nacional,nacional contempla,nacional reforzó,necesario,necesario controlar,nuevas,nuevas medidas,operativo,operativo seguridad,país,país investigación,país plan,plan,plan abasto,porque,porque gasolina,precios,precios coordinación,presidente,presidente anunció,presidente reunió,presupuesto,presupuesto aumenta,presupuesto becas,presupuesto educación,presupuesto investigación,presupuesto nacional,presupuesto universitario,programas,programas atención,programas becas,programas sociales,propuesta,propuesta presupuesto,protesta,protesta estudiantil,protestaron,protestaron recortes,provocó,provocó largas,proyectos,proyectos investigación,pública,pública protesta,públicas,públicas solicitaron,públicos,públicos becas,recortes,recortes presupuesto,rectores,rectores discutir,rectores señalaron,recursos,recursos hospitales,red,red dedicada,reducir,reducir robo,reforzó,reforzó seguridad,reportes,reportes robo,respondió,respondió declaraciones,respuesta,respuesta gobierno,reunió,reunió rectores,reunión,reunión habló,robado,robo,robo combustible,robo gasolina,seguridad,seguridad carreteras,seguridad fronteriza,seguridad vigila,servicio,servicio mañana,señalaron,señalaron presupuesto,señaló,señaló migración,simpatizantes,simpatizantes discurso,sociales,sociales programas,sociales propuesta,solicitaron,solicitaron mayor,sostiene,sostiene laboratorios,supervisión,supervisión precios,tarde,tarde conductores,tecnológica,tecnológica becas,tecnológico,tecnológico reunión,transportar,transportar combustible,trump,trump defendió,trump insistió,trump migración,ubicó,ubicó ductos,universidades,universidades hospitales,universidades públicas,universitario,universitario proyectos,universitario sostiene,universitarios,universitarios protestaron,usados,usados transportar,varias,varias ciudades,varias estaciones,vehículos,vehículos usados,venta,venta ilegal,vigila,vigila carreteras,zonas,zonas reportes
1,0.27728,0.163766,0.163766,0.163766,0.163766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163766,0.163766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163766,0.163766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163766,0.163766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121798,0.0,0.0,0.139216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183346,0.0,0.0,0.0,0.163766,0.163766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163766,0.163766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163766,0.163766,0.163766,0.163766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163766,0.163766,0.0,0.0,0.139216,0.0,0.163766,0.163766,0.163766,0.0,0.0,0.163766,0.163766,0.139216,0.163766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163766,0.163766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139216,0.163766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16696,0.16696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16696,0.16696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16696,0.16696,0.210243,0.16696,0.0,0.141931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16696,0.16696,0.282687,0.16696,0.16696,0.0,0.0,0.0,0.0,0.0,0.0,0.186921,0.0,0.16696,0.16696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16696,0.16696,0.16696,0.16696,0.0,0.0,0.16696,0.16696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16696,0.16696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16696,0.16696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141931,0.16696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16696,0.16696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141931,0.0,0.16696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19935,0.0,0.178061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151368,0.178061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178061,0.178061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19935,0.0,0.0,0.178061,0.0,0.178061,0.0,0.0,0.0,0.178061,0.178061,0.0,0.0,0.0,0.0,0.178061,0.178061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19935,0.0,0.0,0.0,0.151368,0.0,0.151368,0.151368,0.0,0.178061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151368,0.151368,0.0,0.0,0.151368,0.178061,0.0,0.0,0.0,0.0,0.151368,0.0,0.178061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178061,0.178061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178061,0.178061,0.178061,0.178061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13243,0.0,0.151368,0.151368,0.0,0.178061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164909,0.164909,0.164909,0.164909,0.0,0.0,0.164909,0.164909,0.0,0.0,0.109042,0.0,0.0,0.0,0.164909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164909,0.0,0.0,0.0,0.0,0.164909,0.164909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279215,0.164909,0.164909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140188,0.164909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184625,0.164909,0.0,0.0,0.0,0.164909,0.0,0.237358,0.164909,0.0,0.164909,0.164909,0.164909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164909,0.164909,0.0,0.0,0.0,0.0,0.0,0.164909,0.164909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279215,0.164909,0.164909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122648,0.164909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290839,0.171774,0.171774,0.0,0.0,0.0,0.0,0.0,0.0,0.146024,0.171774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146024,0.0,0.0,0.171774,0.0,0.0,0.0,0.0,0.0,0.127753,0.0,0.171774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171774,0.171774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146024,0.0,0.171774,0.0,0.0,0.0,0.0,0.171774,0.171774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171774,0.171774,0.171774,0.171774,0.171774,0.171774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247239,0.171774,0.146024,0.247239,0.171774,0.0,0.171774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171774,0.171774,0.171774,0.171774
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176059,0.176059,0.0,0.0,0.176059,0.176059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176059,0.176059,0.0,0.0,0.0,0.298094,0.176059,0.176059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298094,0.176059,0.176059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176059,0.176059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149666,0.0,0.0,0.298094,0.298094,0.0,0.0,0.0,0.176059,0.176059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176059,0.176059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253407,0.176059,0.176059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159179,0.159179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159179,0.159179,0.0,0.0,0.0,0.0,0.159179,0.159179,0.159179,0.159179,0.0,0.0,0.0,0.0,0.0,0.0,0.159179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159179,0.159179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269514,0.159179,0.159179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269514,0.159179,0.159179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159179,0.159179,0.229112,0.159179,0.159179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159179,0.159179,0.159179,0.159179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229112,0.0,0.269514,0.0,0.0,0.0,0.0,0.0,0.159179,0.159179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135317,0.0,0.0,0.159179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.190445,0.190445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125928,0.0,0.0,0.190445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161895,0.0,0.190445,0.0,0.0,0.0,0.0,0.0,0.0,0.161895,0.190445,0.190445,0.190445,0.0,0.0,0.190445,0.190445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125928,0.190445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213214,0.0,0.190445,0.190445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190445,0.190445,0.190445,0.190445,0.0,0.0,0.0,0.0,0.190445,0.190445,0.161895,0.0,0.0,0.0,0.190445,0.190445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141639,0.0,0.161895,0.0,0.0,0.0,0.190445,0.190445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160845,0.160845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160845,0.160845,0.0,0.0,0.160845,0.160845,0.136733,0.0,0.160845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160845,0.160845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23151,0.160845,0.160845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180076,0.160845,0.0,0.0,0.0,0.0,0.160845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160845,0.160845,0.0,0.0,0.0,0.0,0.0,0.0,0.106356,0.0,0.0,0.0,0.0,0.0,0.160845,0.160845,0.160845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136733,0.160845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160845,0.160845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160845,0.136733,0.0,0.136733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160845,0.160845,0.0,0.0,0.0,0.0,0.160845,0.160845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160845,0.160845,0.0,0.0,0.0,0.160845,0.160845,0.160845,0.160845,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11929,0.180406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180406,0.180406,0.0,0.0,0.0,0.0,0.180406,0.180406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180406,0.180406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180406,0.180406,0.0,0.0,0.201975,0.0,0.180406,0.0,0.180406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153362,0.0,0.180406,0.201975,0.0,0.0,0.0,0.153362,0.0,0.153362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153362,0.153362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153362,0.180406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180406,0.180406,0.180406,0.180406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180406,0.180406,0.180406,0.180406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153362,0.180406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
